z_ang,phi_mean_ev,phi_std_ev,phi_min_ev,phi_max_ev
3.92659147974125,3.0231990525643853,0.4138680472126043,2.2133035262823024,3.7708691457963583
3.999985713007441,3.5147340346197984,0.34496891278655545,2.797881964132036,4.153895460463223
4.073379946273633,3.901927087100133,0.2857575901155304,3.26848691174729,4.443183935295677
4.1467741795398245,4.19664533573812,0.23678946143394045,3.636969926844449,4.649086148834178
4.220168412806016,4.408688987544065,0.19914944124724468,3.9142172314431907,4.779218163213676
4.293562646072208,4.545332544176143,0.1752447942426429,4.109327898813174,4.852659425506798
4.3669568793383995,4.6110799453780045,0.16873114835935027,4.122222659161599,4.891889026498725
4.440351112604591,4.607645588530757,0.1823566217478437,3.969938956876676,4.868545413965799
4.513745345870783,4.534405263641954,0.2157888212026651,3.7269748823496607,4.824472787885606
4.5871395791369745,4.3894965229525225,0.26687320577316875,3.3876506321181163,4.752832619000996
4.660533812403166,4.171199996353521,0.33333012363774295,2.956227215498178,4.6312730481181
4.733928045669357,3.8796365913006112,0.41091680507215794,2.4578110645337263,4.458956841142628
4.8073222789355485,3.5202174055469273,0.4887364739723843,1.9435091990131204,4.255002849870884
4.88071651220174,3.1077495966300646,0.547227482421997,1.4902018339080292,4.050347953549955
4.954110745467932,2.6671535333193477,0.5644668413811504,1.1904012418304026,3.7763166864244178
5.0275049787341235,2.2303850618963703,0.5295571869431717,1.101960870416554,3.4238419132945688
5.100899212000315,1.8308956409344492,0.4597622739107589,1.1612422924169767,3.006975876488967
5.174293445266507,1.492909281227211,0.4145565767606288,0.5988284259812482,2.5468191229004655
5.2476876785326985,1.2163471763530285,0.4576485914335745,0.25580529717917916,2.055019585276554
5.32108191179889,0.9684734957248619,0.5673600552342194,-0.16648539067663812,1.8321677240872336
5.394476145065082,0.6918545748504201,0.685994939254651,-0.9302391682037662,1.722768587460155
5.467870378331273,0.3239455485812031,0.7874487556923523,-1.6263648283422494,1.5375914884256474
5.541264611597465,-0.18018675004402931,0.8652919674566568,-2.3913418301820597,1.2478595621544266
5.614658844863657,-0.8241948005049491,0.9126419411160045,-2.973088011852694,0.8418044207902655
5.6880530781298475,-1.5530106647532604,0.9202047453774929,-3.4068244076023837,0.31979582846785864
5.761447311396039,-2.259160961792479,0.8879361670213991,-4.210748878261988,-0.2692726462962998
5.834841544662231,-2.8201068369925038,0.8392173633511655,-4.554724518571125,-0.8307112707725289
5.9082357779284225,-3.145494032840242,0.8246496154398997,-4.837619580281755,-1.2974759470062416
5.981630011194614,-3.20128261118156,0.8834149774130277,-4.852494503791594,-1.5124969510530577
6.055024244460806,-3.0016360406831586,0.9821416554201865,-4.87401247146632,-1.2446184318285054
6.128418477726997,-2.5910423787202737,1.047730197467231,-4.718067521415806,-0.7610470316543991
6.201812710993189,-2.034641372860933,1.0413799246013309,-4.200218834456867,-0.16693716559825342
6.275206944259381,-1.4096997957380564,0.9759260632189001,-3.319417807109296,0.3124949306798605
6.348601177525572,-0.7886175193145829,0.8883529666071555,-2.4195018260671324,0.7329398702066118
6.421995410791764,-0.22324082252765448,0.8091919262204368,-2.200667268453792,1.2989814965130064
6.495389644057956,0.26114529069027065,0.7613484343322595,-1.8014042585793126,1.5461589321831153
6.568783877324147,0.6655501539761399,0.7627647355418947,-1.2276464736656771,1.7334421840389294
6.642178110590338,1.0114815851401844,0.8004386153162658,-1.304020205364915,2.152881908593781
6.71557234385653,1.3285702717366719,0.8330273025995296,-1.3457729628443065,2.570876868605949
6.7889665771227214,1.6393212949602614,0.8318264463464698,-1.0535315375651202,3.1091279006573385
6.862360810388913,1.9488915515405498,0.8000445071151995,-0.47942686867892853,3.467463761576252
6.935755043655105,2.2483773027124405,0.7613826094477474,0.23286950705887083,3.6978839896489633
7.009149276921296,2.5274463066949333,0.7327025189643128,0.5151471537144277,3.8813560976053676
7.082543510187488,2.782192336583555,0.7069683598560982,0.7247852890884265,4.0847095599466305
7.15593774345368,3.01344793555915,0.6734270653214119,1.1696332670391458,4.323984231868218
7.229331976719871,3.2239554304181084,0.6385524506407256,1.7856985620316752,4.57067458089981
7.302726209986063,3.41827136872654,0.6125765240529057,2.2369628323247857,4.784322444915451
7.376120443252255,3.5996961841756643,0.5907259003528448,2.3121924476365363,4.934933193057111
7.449514676518446,3.7648097203072575,0.5588479695010766,2.5168219111978196,5.0072331024720365
7.522908909784637,3.9017605937979107,0.5125356434723627,2.803305806373229,4.995760443065368
